Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, Roll, LDR 
2313941644,24,37,81,235,90,90,90,795
2313941645,22,28,84,237,90,90,90,649
2313941652,22,32,82,234,90,90,90,805
2313941653,24,50,82,230,90,90,90,675
2313941664,23,38,79,236,90,90,90,763
2313941665,24,26,72,234,90,90,90,743
2313941664,24,28,71,233,90,90,90,611
2313941665,24,31,82,240,90,90,90,769
2313941664,24,34,82,236,90,90,90,790
2313941665,24,35,83,238,90,90,90,765
2313941664,24,37,83,234,90,90,90,707
2313941665,24,39,84,234,90,90,90,665
2313941672,23,30,83,239,90,90,90,769
2313941673,25,38,79,236,90,90,90,780
2313941664,24,27,73,234,90,90,90,775
2313941665,23,25,81,236,90,90,90,782
2313941664,43,106,84,234,90,90,90,691
2313941665,44,101,76,232,90,90,90,767
2313941664,46,101,80,233,90,90,90,777
2313941665,43,103,81,234,90,90,90,773
2313941664,46,103,84,239,90,90,90,695
2313941665,44,102,78,234,90,90,90,771
2313941672,45,103,77,233,90,90,90,832
2313941673,43,103,83,235,90,90,90,763
2313941744,46,99,80,240,90,90,90,726
2313941745,48,101,81,233,90,90,90,617
2313941744,45,101,81,232,90,90,90,749
2313941745,48,100,87,233,90,90,90,690
2313941744,46,102,81,235,90,90,90,769
2313941745,47,101,77,232,90,90,90,752
2313941744,22,26,74,234,90,90,90,658
2313941745,23,27,71,237,90,90,90,750
2313941752,23,26,74,235,90,90,90,728
2313941753,23,26,68,232,90,90,90,740
2313941744,22,27,77,234,90,90,90,728
2313941745,23,29,83,233,90,90,90,725
2313941744,25,36,81,236,90,90,90,737
2313941745,25,32,80,233,90,90,90,648
2313941744,23,30,79,236,90,90,90,711
2313941745,23,28,82,234,93,72,89,672
2313941744,22,26,83,234,93,82,90,745
2313941745,22,26,79,230,93,88,90,721
2313941752,24,38,79,227,93,90,90,726
2313941753,23,27,79,231,93,92,90,767
2313941764,28,63,84,233,93,92,90,605
2313941765,28,73,80,235,93,92,90,752
2313941764,28,42,80,234,93,92,90,657
2313941765,25,34,83,237,93,92,90,767
2313941764,29,59,82,233,93,91,90,731
2313941765,27,72,83,234,93,91,90,701
2313941764,26,38,82,235,93,90,90,731
2313941765,51,99,81,231,93,89,90,682
